version,reputation,group,player,round,action,payoff,avg_action,wealth
"non-targeted, clustered",reputation = 0,8,177,2,1.0,50.0,1.0,1100.0
"non-targeted, clustered",reputation = 0,8,177,3,1.0,50.0,1.0,1150.0
"non-targeted, clustered",reputation = 0,8,177,4,1.0,50.0,1.0,1200.0
"non-targeted, clustered",reputation = 0,8,177,5,1.0,50.0,1.0,1250.0
"non-targeted, clustered",reputation = 0,8,177,6,1.0,50.0,1.0,1300.0
"non-targeted, clustered",reputation = 0,8,177,7,1.0,50.0,1.0,1350.0
"non-targeted, clustered",reputation = 0,8,177,8,1.0,50.0,1.0,1400.0
"non-targeted, clustered",reputation = 0,8,177,9,1.0,50.0,1.0,1450.0
"non-targeted, clustered",reputation = 0,8,177,10,1.0,50.0,1.0,1500.0
"non-targeted, clustered",reputation = 0,8,177,11,1.0,50.0,1.0,1550.0
"non-targeted, clustered",reputation = 0,8,177,12,1.0,50.0,1.0,1600.0
"non-targeted, clustered",reputation = 0,8,177,13,1.0,50.0,1.0,1650.0
"non-targeted, clustered",reputation = 0,8,177,14,1.0,50.0,1.0,1700.0
"non-targeted, clustered",reputation = 0,8,177,15,1.0,50.0,1.0,1750.0
"non-targeted, clustered",reputation = 0,8,177,16,1.0,50.0,1.0,1800.0
"non-targeted, clustered",reputation = 0,8,178,1,1.0,30.0,1.0,1030.0
"non-targeted, clustered",reputation = 0,8,178,2,1.0,33.333332,1.0,1063.333332
"non-targeted, clustered",reputation = 0,8,178,3,1.0,50.0,1.0,1113.333332
"non-targeted, clustered",reputation = 0,8,178,4,1.0,50.0,1.0,1163.333332
"non-targeted, clustered",reputation = 0,8,178,5,1.0,50.0,1.0,1213.333332
"non-targeted, clustered",reputation = 0,8,178,6,1.0,50.0,1.0,1263.333332
"non-targeted, clustered",reputation = 0,8,178,7,1.0,50.0,1.0,1313.333332
"non-targeted, clustered",reputation = 0,8,178,8,1.0,50.0,1.0,1363.333332
"non-targeted, clustered",reputation = 0,8,178,9,1.0,50.0,1.0,1413.333332
"non-targeted, clustered",reputation = 0,8,178,10,1.0,50.0,1.0,1463.333332
"non-targeted, clustered",reputation = 0,8,178,11,1.0,50.0,1.0,1513.333332
"non-targeted, clustered",reputation = 0,8,178,12,1.0,50.0,1.0,1563.333332
"non-targeted, clustered",reputation = 0,8,178,13,1.0,50.0,1.0,1613.333332
"non-targeted, clustered",reputation = 0,8,178,14,1.0,50.0,1.0,1663.333332
"non-targeted, clustered",reputation = 0,8,178,15,1.0,50.0,1.0,1713.333332
"non-targeted, clustered",reputation = 0,8,178,16,1.0,50.0,1.0,1763.333332
"non-targeted, clustered",reputation = 0,8,179,1,1.0,25.0,1.0,1025.0
"non-targeted, clustered",reputation = 0,8,179,2,1.0,50.0,1.0,1075.0
"non-targeted, clustered",reputation = 0,8,179,3,1.0,50.0,1.0,1125.0
"non-targeted, clustered",reputation = 0,8,179,4,1.0,25.0,1.0,1150.0
"non-targeted, clustered",reputation = 0,8,179,5,1.0,50.0,1.0,1200.0
"non-targeted, clustered",reputation = 0,8,179,6,1.0,50.0,1.0,1250.0
"non-targeted, clustered",reputation = 0,8,179,7,1.0,50.0,1.0,1300.0
"non-targeted, clustered",reputation = 0,8,179,8,1.0,50.0,1.0,1350.0
"non-targeted, clustered",reputation = 0,8,179,9,1.0,50.0,1.0,1400.0
"non-targeted, clustered",reputation = 0,8,179,10,1.0,50.0,1.0,1450.0
"non-targeted, clustered",reputation = 0,8,179,11,1.0,50.0,1.0,1500.0
"non-targeted, clustered",reputation = 0,8,179,12,1.0,50.0,1.0,1550.0
"non-targeted, clustered",reputation = 0,8,179,13,1.0,50.0,1.0,1600.0
"non-targeted, clustered",reputation = 0,8,179,14,1.0,50.0,1.0,1650.0
"non-targeted, clustered",reputation = 0,8,179,15,1.0,50.0,1.0,1700.0
"non-targeted, clustered",reputation = 0,8,179,16,1.0,50.0,1.0,1750.0
"non-targeted, clustered",reputation = 0,8,180,1,1.0,25.0,1.0,1025.0
"non-targeted, clustered",reputation = 0,8,180,2,1.0,50.0,1.0,1075.0
"non-targeted, clustered",reputation = 0,8,180,3,1.0,50.0,1.0,1125.0
"non-targeted, clustered",reputation = 0,8,180,4,1.0,50.0,1.0,1175.0
"non-targeted, clustered",reputation = 0,8,180,5,1.0,50.0,1.0,1225.0
"non-targeted, clustered",reputation = 0,8,180,6,1.0,50.0,1.0,1275.0
"non-targeted, clustered",reputation = 0,8,180,7,1.0,50.0,1.0,1325.0
"non-targeted, clustered",reputation = 0,8,180,8,1.0,50.0,1.0,1375.0
"non-targeted, clustered",reputation = 0,8,180,9,1.0,50.0,1.0,1425.0
"non-targeted, clustered",reputation = 0,8,180,10,1.0,50.0,1.0,1475.0
"non-targeted, clustered",reputation = 0,8,180,11,1.0,50.0,1.0,1525.0
"non-targeted, clustered",reputation = 0,8,180,12,1.0,50.0,1.0,1575.0
"non-targeted, clustered",reputation = 0,8,180,13,1.0,50.0,1.0,1625.0
"non-targeted, clustered",reputation = 0,8,180,14,1.0,50.0,1.0,1675.0
"non-targeted, clustered",reputation = 0,8,180,15,1.0,50.0,1.0,1725.0
"non-targeted, clustered",reputation = 0,8,180,16,1.0,50.0,1.0,1775.0
"non-targeted, clustered",reputation = 0,8,181,1,1.0,50.0,1.0,1050.0
"non-targeted, clustered",reputation = 0,8,181,2,1.0,50.0,1.0,1100.0
"non-targeted, clustered",reputation = 0,8,181,3,1.0,50.0,1.0,1150.0
"non-targeted, clustered",reputation = 0,8,181,4,1.0,50.0,1.0,1200.0
"non-targeted, clustered",reputation = 0,8,181,5,1.0,50.0,1.0,1250.0
"non-targeted, clustered",reputation = 0,8,181,6,1.0,50.0,1.0,1300.0
"non-targeted, clustered",reputation = 0,8,181,7,1.0,50.0,1.0,1350.0
"non-targeted, clustered",reputation = 0,8,181,8,1.0,50.0,1.0,1400.0
"non-targeted, clustered",reputation = 0,8,181,9,1.0,50.0,1.0,1450.0
"non-targeted, clustered",reputation = 0,8,181,10,1.0,50.0,1.0,1500.0
"non-targeted, clustered",reputation = 0,8,181,11,1.0,50.0,1.0,1550.0
"non-targeted, clustered",reputation = 0,8,181,12,1.0,50.0,1.0,1600.0
"non-targeted, clustered",reputation = 0,8,181,13,1.0,50.0,1.0,1650.0
"non-targeted, clustered",reputation = 0,8,181,14,1.0,50.0,1.0,1700.0
"non-targeted, clustered",reputation = 0,8,181,15,1.0,50.0,1.0,1750.0
