version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,3,19,0.0,0.46315789473684216,2232.0
disincentivized strategic,reputation = 0,081106_1449,3,20,0.25,0.4525,2327.0
disincentivized strategic,reputation = 0,081106_1449,3,21,0.0,0.430952380952381,2475.0
disincentivized strategic,reputation = 0,081106_1449,3,22,0.0,0.4113636363636364,2575.0
disincentivized strategic,reputation = 0,081106_1449,3,23,0.5,0.41521739130434787,2665.0
disincentivized strategic,reputation = 0,081106_1449,3,24,0.0,0.3979166666666667,2765.0
disincentivized strategic,reputation = 0,081106_1449,4,1,0.0,0.0,160.0
disincentivized strategic,reputation = 0,081106_1449,4,2,0.0,0.0,340.0
disincentivized strategic,reputation = 0,081106_1449,4,3,0.6,0.19999999999999998,508.0
disincentivized strategic,reputation = 0,081106_1449,4,4,1.0,0.4,648.0
disincentivized strategic,reputation = 0,081106_1449,4,5,0.75,0.47000000000000003,813.0
disincentivized strategic,reputation = 0,081106_1449,4,6,0.75,0.5166666666666667,958.0
disincentivized strategic,reputation = 0,081106_1449,4,7,0.0,0.4428571428571429,1138.0
disincentivized strategic,reputation = 0,081106_1449,4,8,0.0,0.3875,1318.0
disincentivized strategic,reputation = 0,081106_1449,4,9,0.5,0.4,1448.0
disincentivized strategic,reputation = 0,081106_1449,4,10,0.75,0.43499999999999994,1533.0
disincentivized strategic,reputation = 0,081106_1449,4,11,0.0,0.39545454545454545,1673.0
disincentivized strategic,reputation = 0,081106_1449,4,12,0.5,0.4041666666666666,1763.0
disincentivized strategic,reputation = 0,081106_1449,4,13,0.0,0.37307692307692303,1903.0
disincentivized strategic,reputation = 0,081106_1449,4,14,0.0,0.3464285714285714,2023.0
disincentivized strategic,reputation = 0,081106_1449,4,15,0.0,0.3233333333333333,2135.0
disincentivized strategic,reputation = 0,081106_1449,4,16,0.0,0.303125,2243.0
disincentivized strategic,reputation = 0,081106_1449,4,17,0.5,0.31470588235294117,2333.0
disincentivized strategic,reputation = 0,081106_1449,4,18,0.0,0.2972222222222222,2433.0
disincentivized strategic,reputation = 0,081106_1449,4,19,0.0,0.28157894736842104,2533.0
disincentivized strategic,reputation = 0,081106_1449,4,20,0.0,0.26749999999999996,2653.0
disincentivized strategic,reputation = 0,081106_1449,4,21,0.6,0.2833333333333333,2741.0
disincentivized strategic,reputation = 0,081106_1449,4,22,0.0,0.27045454545454545,2841.0
disincentivized strategic,reputation = 0,081106_1449,4,23,0.0,0.258695652173913,2981.0
disincentivized strategic,reputation = 0,081106_1449,4,24,0.0,0.24791666666666665,3081.0
disincentivized strategic,reputation = 0,081106_1449,5,1,0.3,0.3,174.0
disincentivized strategic,reputation = 0,081106_1449,5,2,0.45,0.375,345.0
disincentivized strategic,reputation = 0,081106_1449,5,3,0.35,0.3666666666666667,518.0
disincentivized strategic,reputation = 0,081106_1449,5,4,0.5,0.4,632.0
disincentivized strategic,reputation = 0,081106_1449,5,5,0.5,0.42000000000000004,802.0
disincentivized strategic,reputation = 0,081106_1449,5,6,0.75,0.47500000000000003,927.0
disincentivized strategic,reputation = 0,081106_1449,5,7,0.75,0.5142857142857143,1072.0
disincentivized strategic,reputation = 0,081106_1449,5,8,1.0,0.575,1160.0
disincentivized strategic,reputation = 0,081106_1449,5,9,0.5,0.5666666666666667,1330.0
disincentivized strategic,reputation = 0,081106_1449,5,10,0.75,0.585,1415.0
disincentivized strategic,reputation = 0,081106_1449,5,11,1.0,0.6227272727272727,1503.0
disincentivized strategic,reputation = 0,081106_1449,5,12,0.25,0.5916666666666667,1678.0
disincentivized strategic,reputation = 0,081106_1449,5,13,0.5,0.5846153846153845,1768.0
disincentivized strategic,reputation = 0,081106_1449,5,14,0.25,0.5607142857142857,1863.0
disincentivized strategic,reputation = 0,081106_1449,5,15,0.15,0.5333333333333333,1960.0
disincentivized strategic,reputation = 0,081106_1449,5,16,0.1,0.50625,2058.0
disincentivized strategic,reputation = 0,081106_1449,5,17,0.5,0.5058823529411764,2188.0
disincentivized strategic,reputation = 0,081106_1449,5,18,0.75,0.5194444444444444,2353.0
disincentivized strategic,reputation = 0,081106_1449,5,19,0.5,0.5184210526315789,2523.0
disincentivized strategic,reputation = 0,081106_1449,5,20,0.75,0.53,2624.0
disincentivized strategic,reputation = 0,081106_1449,5,21,0.5,0.5285714285714286,2794.0
disincentivized strategic,reputation = 0,081106_1449,5,22,0.5,0.5272727272727272,2900.0
disincentivized strategic,reputation = 0,081106_1449,5,23,0.25,0.5152173913043478,2999.0
