reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,4,13,1.0,50,0.5454545454545454,600
reputation = 0,3,4,14,0.0,35,0.5,635
reputation = 0,3,4,15,,35,0.5,670
reputation = 0,3,4,16,0.0,35,0.46153846153846156,705
reputation = 0,3,4,17,,35,0.46153846153846156,740
reputation = 0,3,4,18,0.0,35,0.42857142857142855,775
reputation = 0,3,4,19,,35,0.42857142857142855,810
reputation = 0,3,4,20,0.0,35,0.4,845
reputation = 0,3,4,21,0.0,35,0.375,880
reputation = 0,3,4,22,0.0,70,0.35294117647058826,950
reputation = 0,3,4,23,0.0,35,0.3333333333333333,985
reputation = 0,3,4,24,,35,0.3333333333333333,1020
reputation = 0,3,4,25,0.0,35,0.3157894736842105,1055
reputation = 0,3,4,26,,35,0.3157894736842105,1090
reputation = 0,3,4,27,0.0,35,0.3,1125
reputation = 0,3,4,28,,35,0.3,1160
reputation = 0,3,4,29,,35,0.3,1195
reputation = 0,3,4,30,0.0,35,0.2857142857142857,1230
reputation = 0,3,5,1,1.0,50,1.0,50
reputation = 0,3,5,2,0.0,35,0.5,85
reputation = 0,3,5,3,1.0,50,0.6666666666666666,135
reputation = 0,3,5,4,0.0,70,0.5,205
reputation = 0,3,5,5,1.0,0,0.6,205
reputation = 0,3,5,6,0.0,70,0.5,275
reputation = 0,3,5,7,1.0,50,0.5714285714285714,325
reputation = 0,3,5,8,0.0,70,0.5,395
reputation = 0,3,5,9,1.0,0,0.5555555555555556,395
reputation = 0,3,5,10,0.0,35,0.5,430
reputation = 0,3,5,11,1.0,0,0.5454545454545454,430
reputation = 0,3,5,12,0.0,70,0.5,500
reputation = 0,3,5,13,,35,0.5,535
reputation = 0,3,5,14,0.0,35,0.46153846153846156,570
reputation = 0,3,5,15,,35,0.46153846153846156,605
reputation = 0,3,5,16,0.0,35,0.42857142857142855,640
reputation = 0,3,5,17,,35,0.42857142857142855,675
reputation = 0,3,5,18,1.0,0,0.4666666666666667,675
reputation = 0,3,5,19,1.0,50,0.5,725
reputation = 0,3,5,20,0.0,35,0.47058823529411764,760
reputation = 0,3,5,21,1.0,0,0.5,760
reputation = 0,3,5,22,,35,0.5,795
reputation = 0,3,5,23,1.0,0,0.5263157894736842,795
reputation = 0,3,5,24,0.0,35,0.5,830
reputation = 0,3,5,25,0.0,35,0.47619047619047616,865
reputation = 0,3,5,26,,35,0.47619047619047616,900
reputation = 0,3,5,27,0.0,35,0.45454545454545453,935
reputation = 0,3,5,28,,35,0.45454545454545453,970
reputation = 0,3,5,29,,35,0.45454545454545453,1005
reputation = 0,3,5,30,,35,0.45454545454545453,1040
reputation = 0,3,6,1,1.0,50,1.0,50
reputation = 0,3,6,2,1.0,50,1.0,100
reputation = 0,3,6,3,0.0,70,0.6666666666666666,170
reputation = 0,3,6,4,0.0,70,0.5,240
reputation = 0,3,6,5,1.0,0,0.6,240
reputation = 0,3,6,6,1.0,0,0.6666666666666666,240
reputation = 0,3,6,7,1.0,0,0.7142857142857143,240
reputation = 0,3,6,8,1.0,50,0.75,290
reputation = 0,3,6,9,1.0,0,0.7777777777777778,290
reputation = 0,3,6,10,,35,0.7777777777777778,325
reputation = 0,3,6,11,1.0,0,0.8,325
reputation = 0,3,6,12,0.0,70,0.7272727272727273,395
reputation = 0,3,6,13,0.0,70,0.6666666666666666,465
reputation = 0,3,6,14,0.0,35,0.6153846153846154,500
reputation = 0,3,6,15,,35,0.6153846153846154,535
reputation = 0,3,6,16,1.0,0,0.6428571428571429,535
reputation = 0,3,6,17,0.0,70,0.6,605
reputation = 0,3,6,18,0.0,35,0.5625,640
reputation = 0,3,6,19,1.0,50,0.5882352941176471,690
reputation = 0,3,6,20,0.0,35,0.5555555555555556,725
reputation = 0,3,6,21,0.0,35,0.5263157894736842,760
reputation = 0,3,6,22,,35,0.5263157894736842,795
reputation = 0,3,6,23,0.0,35,0.5,830
reputation = 0,3,6,24,0.0,35,0.47619047619047616,865
reputation = 0,3,6,25,1.0,0,0.5,865
reputation = 0,3,6,26,,35,0.5,900
reputation = 0,3,6,27,,35,0.5,935
reputation = 0,3,6,28,,35,0.5,970
reputation = 0,3,6,29,0.0,35,0.4782608695652174,1005
reputation = 0,3,6,30,0.0,35,0.4583333333333333,1040
reputation = 0,3,7,1,1.0,50,1.0,50
reputation = 0,3,7,2,0.0,35,0.5,85
reputation = 0,3,7,3,0.0,70,0.3333333333333333,155
reputation = 0,3,7,4,0.0,70,0.25,225
reputation = 0,3,7,5,0.0,70,0.2,295
reputation = 0,3,7,6,1.0,50,0.3333333333333333,345
reputation = 0,3,7,7,0.0,35,0.2857142857142857,380
reputation = 0,3,7,8,1.0,50,0.375,430
reputation = 0,3,7,9,1.0,0,0.4444444444444444,430
reputation = 0,3,7,10,,35,0.4444444444444444,465
reputation = 0,3,7,11,1.0,50,0.5,515
reputation = 0,3,7,12,,35,0.5,550
reputation = 0,3,7,13,,35,0.5,585
