reputation,group,player,round,action,avg_action,wealth
reputation = 0,1,6,3,1,1.0,
reputation = 0,1,6,4,0,0.75,
reputation = 0,1,6,5,0,0.6,
reputation = 0,1,6,6,0,0.5,
reputation = 0,1,6,7,0,0.42857142857142855,
reputation = 0,1,6,8,0,0.375,
reputation = 0,1,6,9,1,0.4444444444444444,
reputation = 0,1,6,10,0,0.4,
reputation = 0,1,6,11,0,0.36363636363636365,
reputation = 0,1,6,12,1,0.4166666666666667,
reputation = 0,1,6,13,1,0.46153846153846156,
reputation = 0,1,6,14,1,0.5,
reputation = 0,1,6,15,0,0.4666666666666667,
reputation = 0,1,6,16,1,0.5,
reputation = 0,1,6,17,1,0.5294117647058824,
reputation = 0,1,6,18,0,0.5,
reputation = 0,1,6,19,0,0.47368421052631576,
reputation = 0,1,6,20,0,0.45,
reputation = 0,1,6,21,0,0.42857142857142855,
reputation = 0,1,6,22,1,0.45454545454545453,
reputation = 0,1,6,23,1,0.4782608695652174,
reputation = 0,1,6,24,0,0.4583333333333333,
reputation = 0,1,6,25,0,0.44,1949.0
reputation = 0,1,7,1,0,0.0,
reputation = 0,1,7,2,0,0.0,
reputation = 0,1,7,3,0,0.0,
reputation = 0,1,7,4,0,0.0,
reputation = 0,1,7,5,0,0.0,
reputation = 0,1,7,6,0,0.0,
reputation = 0,1,7,7,0,0.0,
reputation = 0,1,7,8,0,0.0,
reputation = 0,1,7,9,0,0.0,
reputation = 0,1,7,10,0,0.0,
reputation = 0,1,7,11,0,0.0,
reputation = 0,1,7,12,0,0.0,
reputation = 0,1,7,13,0,0.0,
reputation = 0,1,7,14,0,0.0,
reputation = 0,1,7,15,0,0.0,
reputation = 0,1,7,16,0,0.0,
reputation = 0,1,7,17,0,0.0,
reputation = 0,1,7,18,0,0.0,
reputation = 0,1,7,19,0,0.0,
reputation = 0,1,7,20,0,0.0,
reputation = 0,1,7,21,0,0.0,
reputation = 0,1,7,22,0,0.0,
reputation = 0,1,7,23,0,0.0,
reputation = 0,1,7,24,0,0.0,
reputation = 0,1,7,25,0,0.0,1560.0
reputation = 0,1,8,1,1,1.0,
reputation = 0,1,8,2,1,1.0,
reputation = 0,1,8,3,1,1.0,
reputation = 0,1,8,4,1,1.0,
reputation = 0,1,8,5,1,1.0,
reputation = 0,1,8,6,0,0.8333333333333334,
reputation = 0,1,8,7,1,0.8571428571428571,
reputation = 0,1,8,8,0,0.75,
reputation = 0,1,8,9,1,0.7777777777777778,
reputation = 0,1,8,10,0,0.7,
reputation = 0,1,8,11,0,0.6363636363636364,
reputation = 0,1,8,12,1,0.6666666666666666,
reputation = 0,1,8,13,0,0.6153846153846154,
reputation = 0,1,8,14,0,0.5714285714285714,
reputation = 0,1,8,15,0,0.5333333333333333,
reputation = 0,1,8,16,1,0.5625,
reputation = 0,1,8,17,0,0.5294117647058824,
reputation = 0,1,8,18,1,0.5555555555555556,
reputation = 0,1,8,19,1,0.5789473684210527,
reputation = 0,1,8,20,0,0.55,
reputation = 0,1,8,21,0,0.5238095238095238,
reputation = 0,1,8,22,0,0.5,
reputation = 0,1,8,23,0,0.4782608695652174,
reputation = 0,1,8,24,0,0.4583333333333333,
reputation = 0,1,8,25,1,0.48,881.0
reputation = 0,1,9,1,1,1.0,
reputation = 0,1,9,2,1,1.0,
reputation = 0,1,9,3,1,1.0,
reputation = 0,1,9,4,1,1.0,
reputation = 0,1,9,5,1,1.0,
reputation = 0,1,9,6,1,1.0,
reputation = 0,1,9,7,0,0.8571428571428571,
reputation = 0,1,9,8,0,0.75,
