reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,040909,1005,6,1,10,1.0,200
reputation = 0,040909,1005,7,0,90,0.8571428571428571,290
reputation = 0,040909,1005,8,0,20,0.75,310
reputation = 0,040909,1005,9,1,10,0.7777777777777778,320
reputation = 0,040909,1005,10,0,20,0.7,340
reputation = 0,040909,1005,11,0,90,0.6363636363636364,430
reputation = 0,040909,1005,12,1,10,0.6666666666666666,440
reputation = 0,040909,1005,13,1,80,0.6923076923076923,520
reputation = 0,040909,1005,14,1,10,0.7142857142857143,530
reputation = 0,040909,1005,15,1,10,0.7333333333333333,540
reputation = 0,040909,1005,16,0,90,0.6875,630
reputation = 0,040909,1005,17,0,20,0.6470588235294118,650
reputation = 0,040909,1005,18,0,90,0.6111111111111112,740
reputation = 0,040909,1005,19,0,90,0.5789473684210527,830
reputation = 0,040909,1005,20,0,20,0.55,850
reputation = 0,040909,1005,21,0,20,0.5238095238095238,870
reputation = 0,040909,1005,22,0,20,0.5,890
reputation = 0,040909,1005,23,0,20,0.4782608695652174,910
reputation = 0,040909,1005,24,0,20,0.4583333333333333,930
reputation = 0,040909,1006,1,0,20,0.0,20
reputation = 0,040909,1006,2,0,20,0.0,40
reputation = 0,040909,1006,3,1,10,0.3333333333333333,50
reputation = 0,040909,1006,4,0,90,0.25,140
reputation = 0,040909,1006,5,0,20,0.2,160
reputation = 0,040909,1006,6,0,20,0.16666666666666666,180
reputation = 0,040909,1006,7,0,20,0.14285714285714285,200
reputation = 0,040909,1006,8,0,90,0.125,290
reputation = 0,040909,1006,9,0,90,0.1111111111111111,380
reputation = 0,040909,1006,10,0,20,0.1,400
reputation = 0,040909,1006,11,0,20,0.09090909090909091,420
reputation = 0,040909,1006,12,0,20,0.08333333333333333,440
reputation = 0,040909,1006,13,0,20,0.07692307692307693,460
reputation = 0,040909,1006,14,0,90,0.07142857142857142,550
reputation = 0,040909,1006,15,0,20,0.06666666666666667,570
reputation = 0,040909,1006,16,0,20,0.0625,590
reputation = 0,040909,1006,17,0,20,0.058823529411764705,610
reputation = 0,040909,1006,18,0,20,0.05555555555555555,630
reputation = 0,040909,1006,19,0,90,0.05263157894736842,720
reputation = 0,040909,1006,20,0,90,0.05,810
reputation = 0,040909,1006,21,0,20,0.047619047619047616,830
reputation = 0,040909,1006,22,0,90,0.045454545454545456,920
reputation = 0,040909,1006,23,0,20,0.043478260869565216,940
reputation = 0,040909,1006,24,0,20,0.041666666666666664,960
reputation = 0,040909,1007,1,0,20,0.0,20
reputation = 0,040909,1007,2,0,20,0.0,40
reputation = 0,040909,1007,3,0,90,0.0,130
reputation = 0,040909,1007,4,0,20,0.0,150
reputation = 0,040909,1007,5,0,90,0.0,240
reputation = 0,040909,1007,6,0,20,0.0,260
reputation = 0,040909,1007,7,0,20,0.0,280
reputation = 0,040909,1007,8,0,90,0.0,370
reputation = 0,040909,1007,9,0,90,0.0,460
reputation = 0,040909,1007,10,0,20,0.0,480
reputation = 0,040909,1007,11,0,20,0.0,500
reputation = 0,040909,1007,12,0,20,0.0,520
reputation = 0,040909,1007,13,0,20,0.0,540
reputation = 0,040909,1007,14,0,90,0.0,630
reputation = 0,040909,1007,15,0,90,0.0,720
reputation = 0,040909,1007,16,0,20,0.0,740
reputation = 0,040909,1007,17,0,20,0.0,760
reputation = 0,040909,1007,18,0,20,0.0,780
reputation = 0,040909,1007,19,0,20,0.0,800
reputation = 0,040909,1007,20,0,90,0.0,890
reputation = 0,040909,1007,21,0,90,0.0,980
reputation = 0,040909,1007,22,0,20,0.0,1000
reputation = 0,040909,1007,23,0,20,0.0,1020
reputation = 0,040909,1007,24,0,20,0.0,1040
reputation = 0,040909,1008,1,1,80,1.0,80
reputation = 0,040909,1008,2,0,20,0.5,100
reputation = 0,040909,1008,3,0,20,0.3333333333333333,120
reputation = 0,040909,1008,4,0,90,0.25,210
reputation = 0,040909,1008,5,0,20,0.2,230
reputation = 0,040909,1008,6,0,90,0.16666666666666666,320
reputation = 0,040909,1008,7,0,20,0.14285714285714285,340
reputation = 0,040909,1008,8,0,20,0.125,360
reputation = 0,040909,1008,9,0,90,0.1111111111111111,450
reputation = 0,040909,1008,10,0,20,0.1,470
reputation = 0,040909,1008,11,0,20,0.09090909090909091,490
reputation = 0,040909,1008,12,0,20,0.08333333333333333,510
reputation = 0,040909,1008,13,0,20,0.07692307692307693,530
reputation = 0,040909,1008,14,0,20,0.07142857142857142,550
reputation = 0,040909,1008,15,0,90,0.06666666666666667,640
reputation = 0,040909,1008,16,0,20,0.0625,660
reputation = 0,040909,1008,17,0,20,0.058823529411764705,680
reputation = 0,040909,1008,18,0,20,0.05555555555555555,700
reputation = 0,040909,1008,19,0,20,0.05263157894736842,720
reputation = 0,040909,1008,20,0,20,0.05,740
reputation = 0,040909,1008,21,0,90,0.047619047619047616,830
reputation = 0,040909,1008,22,0,90,0.045454545454545456,920
reputation = 0,040909,1008,23,0,20,0.043478260869565216,940
reputation = 0,040909,1008,24,0,20,0.041666666666666664,960
reputation = 0,040909,1009,1,0,20,0.0,20
reputation = 0,040909,1009,2,0,20,0.0,40
reputation = 0,040909,1009,3,0,20,0.0,60
reputation = 0,040909,1009,4,0,20,0.0,80
reputation = 0,040909,1009,5,0,90,0.0,170
reputation = 0,040909,1009,6,0,20,0.0,190
reputation = 0,040909,1009,7,0,90,0.0,280
reputation = 0,040909,1009,8,0,20,0.0,300
reputation = 0,040909,1009,9,0,20,0.0,320
reputation = 0,040909,1009,10,0,20,0.0,340
reputation = 0,040909,1009,11,0,20,0.0,360
reputation = 0,040909,1009,12,0,20,0.0,380
reputation = 0,040909,1009,13,0,90,0.0,470
reputation = 0,040909,1009,14,0,20,0.0,490
reputation = 0,040909,1009,15,0,20,0.0,510
reputation = 0,040909,1009,16,0,20,0.0,530
reputation = 0,040909,1009,17,0,20,0.0,550
reputation = 0,040909,1009,18,0,20,0.0,570
reputation = 0,040909,1009,19,0,20,0.0,590
reputation = 0,040909,1009,20,0,20,0.0,610
reputation = 0,040909,1009,21,0,20,0.0,630
reputation = 0,040909,1009,22,0,90,0.0,720
reputation = 0,040909,1009,23,0,90,0.0,810
reputation = 0,040909,1009,24,0,20,0.0,830
reputation = 0,040909,1010,1,0,20,0.0,20
reputation = 0,040909,1010,2,1,80,0.5,100
reputation = 0,040909,1010,3,0,20,0.3333333333333333,120
reputation = 0,040909,1010,4,1,80,0.5,200
reputation = 0,040909,1010,5,1,80,0.6,280
reputation = 0,040909,1010,6,1,80,0.6666666666666666,360
reputation = 0,040909,1010,7,1,10,0.7142857142857143,370
reputation = 0,040909,1010,8,0,90,0.625,460
reputation = 0,040909,1010,9,0,20,0.5555555555555556,480
reputation = 0,040909,1010,10,1,10,0.6,490
reputation = 0,040909,1010,11,0,20,0.5454545454545454,510
reputation = 0,040909,1010,12,1,80,0.5833333333333334,590
reputation = 0,040909,1010,13,1,10,0.6153846153846154,600
reputation = 0,040909,1010,14,0,90,0.5714285714285714,690
reputation = 0,040909,1010,15,0,20,0.5333333333333333,710
reputation = 0,040909,1010,16,0,20,0.5,730
reputation = 0,040909,1010,17,1,10,0.5294117647058824,740
reputation = 0,040909,1010,18,1,10,0.5555555555555556,750
reputation = 0,040909,1010,19,0,20,0.5263157894736842,770
reputation = 0,040909,1010,20,0,20,0.5,790
reputation = 0,040909,1010,21,1,10,0.5238095238095238,800
reputation = 0,040909,1010,22,0,20,0.5,820
reputation = 0,040909,1010,23,1,80,0.5217391304347826,900
reputation = 0,040909,1010,24,1,80,0.5416666666666666,980
reputation = 0,040909,1011,1,1,10,1.0,10
reputation = 0,040909,1011,2,0,20,0.5,30
reputation = 0,040909,1011,3,0,20,0.3333333333333333,50
reputation = 0,040909,1011,4,0,20,0.25,70
reputation = 0,040909,1011,5,0,20,0.2,90
reputation = 0,040909,1011,6,0,90,0.16666666666666666,180
reputation = 0,040909,1011,7,0,90,0.14285714285714285,270
reputation = 0,040909,1011,8,0,20,0.125,290
reputation = 0,040909,1011,9,0,90,0.1111111111111111,380
reputation = 0,040909,1011,10,0,20,0.1,400
reputation = 0,040909,1011,11,0,20,0.09090909090909091,420
reputation = 0,040909,1011,12,0,20,0.08333333333333333,440
reputation = 0,040909,1011,13,0,20,0.07692307692307693,460
reputation = 0,040909,1011,14,0,20,0.07142857142857142,480
reputation = 0,040909,1011,15,0,90,0.06666666666666667,570
reputation = 0,040909,1011,16,0,20,0.0625,590
reputation = 0,040909,1011,17,0,20,0.058823529411764705,610
reputation = 0,040909,1011,18,0,20,0.05555555555555555,630
reputation = 0,040909,1011,19,0,20,0.05263157894736842,650
reputation = 0,040909,1011,20,0,20,0.05,670
reputation = 0,040909,1011,21,0,20,0.047619047619047616,690
reputation = 0,040909,1011,22,0,20,0.045454545454545456,710
reputation = 0,040909,1011,23,0,20,0.043478260869565216,730
reputation = 0,040909,1011,24,0,90,0.041666666666666664,820
reputation = 0,040909,1012,1,1,80,1.0,80
reputation = 0,040909,1012,2,0,20,0.5,100
reputation = 0,040909,1012,3,1,10,0.6666666666666666,110
reputation = 0,040909,1012,4,1,10,0.75,120
reputation = 0,040909,1012,5,1,10,0.8,130
reputation = 0,040909,1012,6,1,80,0.8333333333333334,210
reputation = 0,040909,1012,7,1,10,0.8571428571428571,220
reputation = 0,040909,1012,8,1,10,0.875,230
reputation = 0,040909,1012,9,1,80,0.8888888888888888,310
reputation = 0,040909,1012,10,1,10,0.9,320
reputation = 0,040909,1012,11,1,10,0.9090909090909091,330
reputation = 0,040909,1012,12,1,10,0.9166666666666666,340
reputation = 0,040909,1012,13,1,10,0.9230769230769231,350
reputation = 0,040909,1012,14,1,10,0.9285714285714286,360
reputation = 0,040909,1012,15,1,10,0.9333333333333333,370
reputation = 0,040909,1012,16,1,10,0.9375,380
reputation = 0,040909,1012,17,1,10,0.9411764705882353,390
reputation = 0,040909,1012,18,1,10,0.9444444444444444,400
reputation = 0,040909,1012,19,1,10,0.9473684210526315,410
reputation = 0,040909,1012,20,1,10,0.95,420
reputation = 0,040909,1012,21,1,10,0.9523809523809523,430
reputation = 0,040909,1012,22,1,10,0.9545454545454546,440
reputation = 0,040909,1012,23,1,80,0.9565217391304348,520
reputation = 0,040909,1012,24,1,10,0.9583333333333334,530
reputation = 0,040909,1013,1,0,90,0.0,90
